id,txnRefNumber,amount,type
1,u30b0eab2,118.23,refund
2,ua3010f2e,426.4,sale
3,u8d29d528,130.53,sale
4,ucb3a2718,214.14,refund
5,uf26d8ba9,53.77,sale
6,ud9f1e7dc,708.57,refund
7,u52c2d52c,405.16,refund
8,u3d06d91a,971.98,refund
9,u5609b076,627.02,sale
10,ua6a09cbc,526.3,refund
11,u923819d3,642.47,refund
12,u391fb0d5,925.99,sale
13,uc14cba94,189.25,sale
14,uae801934,834.37,sale
15,uc8c4c01e,313.24,refund
16,u5b2134e9,636.64,sale
17,ub648b12c,543.84,sale
18,ucb13b10d,526.18,refund
19,u67207033,666.07,refund
20,u89775a85,435.9,sale
21,ud298b3ec,394.06,refund
22,ufa95be0f,130.93,refund
23,u79e00451,136.08,refund
24,u1146f457,687.93,refund
25,uc336d99b,839.38,sale
26,u5416a54f,592.07,refund
27,udb90edcf,646.06,sale
28,u44ce9c86,3.14,sale
29,u0a0d45b7,3.68,sale
30,u8e992977,350.59,refund
31,u27c07a47,129.43,sale
32,uad3e23fc,219.64,sale
33,u67b6d08b,335.88,sale
34,u718f700c,298.3,refund
35,u426d47a5,312.37,sale
36,udf0dee66,594.93,refund
37,u795b6d10,933.48,refund
38,ub49ee0f1,86.71,sale
39,uc8d8eb15,517.99,sale
40,u1e6972b9,865.17,sale
41,u96bfe314,696.48,sale
42,u77251f75,935.5,refund
43,u1e4ea557,544.91,sale
44,u1272e40d,869.09,sale
45,u103f00cd,935.75,sale
46,u75429983,743.49,sale
47,u29a095f8,407.46,refund
48,ua608cb89,261.86,sale
49,u955f1613,158.87,refund
50,ufc126d5e,76.6,sale
51,u29a85c59,860.55,refund
52,u2ab40952,5.55,sale
53,u7356b571,509.24,sale
54,u86b89034,818.23,sale
55,u4976374e,660.52,refund
56,uc367bca9,825.88,sale
57,u86ddab86,220.46,sale
58,ub64fda1a,707.9,refund
59,u31317d90,737.69,sale
60,uf3a1994f,133.2,refund
61,u0b734422,704.08,refund
62,u9c766ba8,455.46,refund
63,u0d74d579,678.88,sale
64,ua2cbf423,815.46,refund
65,ub643cde1,45.28,refund
66,uc72fb877,28.51,sale
67,ucdcdeaa4,187.85,sale
68,u3fed2c1f,507.92,sale
69,u0be2d2a1,15.13,refund
70,u784ad56a,885.56,refund
71,u3acef9bc,385.27,sale
72,u949b558b,730.84,refund
73,u3a5a6965,44.0,sale
74,ufd15238f,117.95,refund
75,ueac02675,824.74,refund
76,u49dcc73e,857.12,sale
77,u43f76909,958.18,refund
78,udcd560e8,929.48,sale
79,ue6582e04,289.36,refund
80,u5ec62475,660.57,sale
81,udcfcea18,803.85,refund
82,uc4a257f2,991.05,sale
83,u985782cf,555.27,refund
84,u2b144ec0,530.4,sale
85,u254852e8,983.04,refund
86,u41a806c2,757.01,sale
87,u5da08e75,281.34,refund
88,u505ce827,487.0,sale
89,ud7b920e4,216.16,sale
90,u05c8fa33,759.28,refund
91,u30989b74,974.12,sale
92,ued664443,746.04,refund
93,u25b00ebf,331.61,refund
94,u32b314d2,11.89,refund
95,uf17ed7db,758.67,sale
96,u120cbbb5,743.68,refund
97,uf4595a34,674.39,sale
98,uae385007,586.37,refund
99,u7c7d683b,396.11,sale
100,u04447bd7,255.43,refund
101,uf0ec1969,137.68,sale
102,uc8fd2001,424.65,sale
103,u194876ae,737.32,sale
104,u5b2d1671,483.78,refund
105,u7f915628,920.72,sale
106,u88cb8a75,926.98,sale
107,ue8473957,316.14,sale
108,u08944153,670.52,sale
109,u1fd1cfdb,653.35,refund
110,ufb7e592e,319.7,sale
111,u251d3d45,659.88,refund
112,u1aa42b24,967.95,refund
113,ub396fec8,610.88,sale
114,u2e3f0756,142.39,refund
115,ubf4e178e,181.31,refund
116,u59915ee7,534.64,refund
117,u5b018ce8,254.65,refund
118,ufbbeb833,664.82,refund
119,ub747605b,772.45,refund
120,u464e8e19,985.02,refund
121,ubdd077ce,963.97,refund
122,uded8ff89,290.14,refund
123,uc421b7cf,954.96,refund
124,u1923b0f0,796.47,refund
125,u7d4014f5,423.05,sale
126,u23773e02,731.91,sale
127,u4ef08015,137.55,sale
128,u68541cdf,105.26,refund
129,u1de0262b,858.76,refund
130,u411c1bc1,761.68,sale
131,u997945d2,258.93,refund
132,u60a5ba4e,625.17,sale
133,u74d97b99,37.05,sale
134,ufaa48624,264.17,sale
135,u492bcc79,767.03,sale
136,ufc93fc22,778.09,refund
137,u065fee4f,957.85,sale
138,u6098b3af,966.77,refund
139,u731396e2,759.8,sale
140,u4ec01b91,788.44,refund
141,uaf8d56bc,271.26,refund
142,u1d6dfb52,661.37,sale
143,u04482991,670.25,refund
144,ub507c83b,197.42,sale
145,u996ddff7,694.28,sale
146,u5ae3e832,617.62,sale
147,uc5ccbfeb,295.18,refund
148,ud6f85002,525.8,refund
149,uff731335,490.65,sale
150,u83b27ae6,24.53,sale
151,u6d004d49,45.14,sale
152,ud8e3aee1,813.26,sale
153,ucf38877a,283.76,refund
154,u50c869f8,133.31,refund
155,u1a7f6fcc,300.65,sale
156,uda76a37f,166.7,sale
157,u3a405d28,572.76,refund
158,ub197b592,780.15,refund
159,ub725f8fb,467.35,refund
160,u1928c1fe,292.66,refund
161,u26359c0b,450.94,refund
162,ucf3bf1f0,497.23,refund
163,uf807640e,935.99,sale
164,u60a01fc1,197.59,refund
165,ua11f5973,764.09,sale
166,u769f0609,270.39,refund
167,ue67faf53,358.97,refund
168,u27f42dad,561.54,sale
169,u0c1a38a3,962.33,refund
170,u3b1c390a,469.23,sale
171,uf34c1761,51.46,refund
172,u5b087629,21.88,refund
173,ua6a63446,764.78,sale
174,ua3af905f,315.8,refund
175,u4930346a,654.81,refund
176,u1823b5ca,919.49,sale
177,u290b7a32,132.77,sale
178,u5943edc8,549.75,sale
179,ue6a0ced0,701.82,refund
180,u02e7a4fe,831.08,refund
181,u19ba5013,104.58,refund
182,uf92011a2,424.32,sale
183,ub19dee89,984.16,sale
184,u62d18631,362.92,refund
185,u4a197eb3,841.1,refund
186,u02ccc828,82.07,refund
187,u63e1e51a,253.75,sale
188,u9baf07cd,370.2,sale
189,uf4623c57,110.05,refund
190,ub846e63b,36.03,refund
191,u274d8992,618.04,sale
192,u27f83e67,611.56,refund
193,u68cede7b,358.93,refund
194,ubed30fc2,82.5,sale
195,uedd67ec2,932.44,sale
196,u3a30b4d0,847.44,sale
197,u780da8f6,213.48,sale
198,u4f43342c,385.93,sale
199,ufcf13063,601.1,refund
200,u31373653,459.24,refund
201,u9323ad0a,899.6,refund
202,u87cf8e9d,346.34,sale
203,ud0c892a9,337.78,refund
204,u179ebbb0,496.9,sale
205,u84304a78,378.85,sale
206,ud506ea5b,621.0,sale
207,ucb2b907a,293.41,sale
208,u18886eae,4.59,sale
209,u444e4e53,182.04,refund
210,u8c072f37,491.39,sale
211,u8afaf098,44.57,refund
212,u1f1112b3,905.53,refund
213,u93411837,274.03,refund
214,u1d191b42,332.55,refund
215,u6a800cb2,77.72,refund
216,uf3e5ede0,123.51,sale
217,u158b8ded,633.75,sale
218,u3d559be4,13.4,sale
219,u613da719,650.32,refund
220,ud1094dcb,245.06,refund
221,ue0d96e86,806.65,sale
222,u96ec2429,545.3,sale
223,ub43fa606,56.59,sale
224,udc2a02ef,344.75,sale
225,uf134834a,759.86,refund
226,u14c572c2,779.18,sale
227,u86dd0e94,67.77,refund
228,u3e731dfc,968.93,refund
